Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
105.04250502586365	0	-26.7178309935	4.28701969776	-13.5863416009	-41.7623253668	151.0	0.0	200075	200075
194.83417201042175	1	-138.459996116	12.6446469899	-97.6670678924	-176.304541895	151.0	0.0	200075	400150
273.6654019355774	2	-81.0605450235	21.3769652863	-11.7178589539	-155.051743134	151.0	0.0	200075	600225
347.1629650592804	3	-33.9004781939	17.9095133624	31.2553770136	-84.8902056989	151.0	0.0	200075	800300
418.1035339832306	4	-11.9949573806	35.4924261554	107.363796603	-108.278391041	151.0	0.0	200075	1000375
489.9661500453949	5	31.1248074545	46.5617421974	196.778138374	-85.1380847516	151.0	0.0	200075	1200450
562.4044849872589	6	47.2826206038	65.2994002192	245.373598885	-96.784170617	151.0	0.0	200075	1400525
634.774255990982	7	31.7270307798	48.8505064795	201.86838859	-97.375876944	151.0	0.0	200075	1600600
706.4616651535034	8	19.7441732468	52.8200737456	220.198176305	-158.029610304	151.0	0.0	200075	1800675
777.8095960617065	9	-17.0204642971	55.0626343712	138.531733572	-205.993942352	151.0	0.0	200075	2000750
849.2949120998383	10	-13.3785301191	52.5452958878	164.025910562	-177.74568181	151.0	0.0	200075	2200825
920.9385430812836	11	10.3152109424	46.8579612329	177.487167925	-138.484307154	151.0	0.0	200075	2400900
993.0425820350647	12	7.80661238492	43.8931087649	214.146069621	-148.485446598	151.0	0.0	200075	2600975
1065.3646969795227	13	12.6052660871	41.490194512	282.414261813	-92.578301895	151.0	0.0	200075	2801050
1137.8252201080322	14	21.2348165526	37.3862154787	189.001303133	-92.2215025133	151.0	0.0	200075	3001125
1210.3481760025024	15	37.4963726532	42.3203958039	181.786772021	-99.881155569	151.0	0.0	200075	3201200
1282.5884940624237	16	48.2598724797	42.5640203418	208.8306111	-70.8930817279	151.0	0.0	200075	3401275
1354.845498085022	17	52.0252490634	41.955474766	203.515939911	-95.3029634633	151.0	0.0	200075	3601350
1427.1536870002747	18	57.8840823761	42.0162852542	217.193282364	-90.9467520504	151.0	0.0	200075	3801425
1500.0285301208496	19	52.6441178055	42.3832157561	204.090002852	-80.7684725161	151.0	0.0	200075	4001500
1571.921002149582	20	36.5401925861	41.7525029556	188.420551285	-86.876950474	151.0	0.0	200075	4201575
1643.7884531021118	21	24.6049626355	45.7776830404	183.578456949	-103.078354016	151.0	0.0	200075	4401650
1715.6701891422272	22	27.6005026257	44.9208184109	166.858804779	-110.367356352	151.0	0.0	200075	4601725
1787.5879969596863	23	37.8740733997	35.9922426037	131.655834368	-89.3107373132	151.0	0.0	200075	4801800
1859.6975409984589	24	50.375563485	31.3065014034	140.570588547	-54.0170800578	151.0	0.0	200075	5001875
1931.9270560741425	25	103.026876776	36.5968127145	214.044711637	-16.7895365147	151.0	0.0	200075	5201950
2003.614009141922	26	192.212069963	83.9083352128	369.532565293	-26.3463722106	151.0	0.0	200075	5402025
2075.3761920928955	27	125.230669122	111.888053474	432.947280348	-100.230326622	151.0	0.0	200075	5602100
2146.7985100746155	28	81.1891600878	105.317793782	505.319673424	-108.56800053	151.0	0.0	200075	5802175
2218.292354106903	29	124.974922547	147.980093419	514.69899593	-139.37801129	151.0	0.0	200075	6002250
2290.3712310791016	30	190.717374343	119.027893339	405.429768282	-58.5619665016	151.0	0.0	200075	6202325
2362.4358830451965	31	162.200652021	90.5722988855	367.419123917	-54.676087375	151.0	0.0	200075	6402400
2434.3077120780945	32	238.304766876	83.978820143	425.129751164	-39.5454216062	151.0	0.0	200075	6602475
2506.179489135742	33	253.33295524	78.4616263735	445.289475494	0.406653753332	151.0	0.0	200075	6802550
