Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
6.3868489265441895	0	8.53049040512	3.81859829472	34.0	3.0	8.53049040512	3.81859829472	20004	20004
13.59804105758667	1	10.3604350078	5.45662892172	45.0	3.0	10.3604350078	5.45662892172	20006	40010
19.64000105857849	2	12.1119854722	6.41975437061	59.0	4.0	12.1119854722	6.41975437061	20009	60019
26.756777048110962	3	14.119266055	7.79839677517	57.0	4.0	14.119266055	7.79839677517	20007	80026
32.11534404754639	4	15.6296875	8.85245692745	61.0	4.0	15.6296875	8.85245692745	20006	100032
38.83810091018677	5	16.6121262458	9.43855205603	67.0	5.0	16.6121262458	9.43855205603	20001	120033
43.86682105064392	6	18.3682277319	10.1705990083	109.0	5.0	18.3682277319	10.1705990083	20003	140036
49.03780198097229	7	21.7747551687	12.4749313073	99.0	5.0	21.7747551687	12.4749313073	20011	160047
54.41966700553894	8	24.5749385749	13.3739877684	90.0	5.0	24.5749385749	13.3739877684	20004	180051
60.40395903587341	9	27.2779291553	13.9955862278	89.0	6.0	27.2779291553	13.9955862278	20022	200073
65.2260890007019	10	28.5406562054	15.2437209682	117.0	6.0	28.5406562054	15.2437209682	20007	220080
70.17260098457336	11	30.6339969372	14.8621808117	109.0	7.0	30.6339969372	14.8621808117	20004	240084
75.37790203094482	12	32.4805194805	14.7864543045	100.0	6.0	32.4805194805	14.7864543045	20008	260092
79.96798801422119	13	37.172541744	16.386957664	105.0	7.0	37.172541744	16.386957664	20036	280128
84.43043804168701	14	39.9462151394	17.5774636029	128.0	9.0	39.9462151394	17.5774636029	20053	300181
88.85869693756104	15	42.4216101695	18.5234104957	140.0	12.0	42.4216101695	18.5234104957	20023	320204
93.52677488327026	16	47.6199524941	20.7036086679	131.0	10.0	47.6199524941	20.7036086679	20048	340252
98.15798592567444	17	51.7364341085	20.510860316	145.0	14.0	51.7364341085	20.510860316	20022	360274
102.75496697425842	18	60.1921921922	22.7615726233	162.0	16.0	60.1921921922	22.7615726233	20044	380318
107.93392395973206	19	63.7841269841	23.853342958	170.0	17.0	63.7841269841	23.853342958	20092	400410
111.91145491600037	20	70.3087719298	30.0415401333	219.0	20.0	70.3087719298	30.0415401333	20038	420448
116.00210690498352	21	74.8320895522	29.0703883311	212.0	12.0	74.8320895522	29.0703883311	20055	440503
120.19029903411865	22	81.4634146341	32.2940737303	209.0	25.0	81.4634146341	32.2940737303	20040	460543
125.91006588935852	23	92.1889400922	38.2394380741	241.0	24.0	92.1889400922	38.2394380741	20005	480548
130.61266589164734	24	102.815384615	48.2474048111	295.0	38.0	102.815384615	48.2474048111	20049	500597
135.53017807006836	25	117.970588235	50.6139281541	313.0	37.0	117.970588235	50.6139281541	20055	520652
139.8859920501709	26	131.790849673	59.7836681301	411.0	41.0	131.790849673	59.7836681301	20164	540816
144.0973219871521	27	148.451851852	66.271575776	305.0	50.0	148.451851852	66.271575776	20041	560857
148.40595602989197	28	161.758064516	80.2730592906	483.0	47.0	161.758064516	80.2730592906	20058	580915
152.91725087165833	29	160.44	71.0739783606	421.0	49.0	160.44	71.0739783606	20055	600970
157.41226887702942	30	187.23364486	85.622577536	601.0	55.0	187.23364486	85.622577536	20034	621004
